CIK,FILINGMANAGER_NAME,PERIODOFREPORT,FILING_DATE,SUBMISSIONTYPE,ISAMENDMENT,TABLEVALUETOTAL,TABLEENTRYTOTAL,ISCONFIDENTIALOMITTED,NAMEOFISSUER,CUSIP,TITLEOFCLASS,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,INVESTMENTDISCRETION,weight
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,3M COMPANY,88579Y101,COM,394000,4992,SH,SOLE,0.001957297
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,ABBOTT LABORATORIES,2824100,COM,5552000,118690,SH,SOLE,0.027580999
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,AMERISOURCEBERGEN CORP COM,3.07E+108,COM,775000,24425,SH,SOLE,0.003850013
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,AT&T INC,00206R102,COM,263000,10889,SH,SOLE,0.001306521
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,AUTOMATIC DATA PROCESSING INC,53015103,COM,3794000,94230,SH,SOLE,0.018847679
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,BANK OF AMER CORP,60505104,COM,3039000,211472,SH,SOLE,0.01509702
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,BARCLAYS PLC ADR,6.74E+207,COM,342000,21500,SH,SOLE,0.001698974
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,BCE INC,05534B760,COM,247000,8450,SH,SOLE,0.001227037
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,BECTON DICKINSON & CO,75887109,COM,903000,13358,SH,SOLE,0.004485887
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",30/6/2010,27/6/2013,13F-HR,,201298000,79,N,BERKSHIRE HATHAWAY INC CL B,84670702,COM,1865000,23400,SH,SOLE,0.009264871
